2026-05-12T21:20:26 | INFO     | vo-backend | pipeline_orchestrator | reset_staging_tables=true — dropping and recreating staging tables.
2026-05-12T21:20:26 | INFO     | vo-backend | api_ingest.db_staging | Dropped staging tables: ['backup_api_est_imgs', 'backup_api_est_line', 'backup_api_est_subtot']
2026-05-12T21:20:26 | DEBUG    | vo-backend | api_ingest.db_staging | Staging tables ensured.
2026-05-12T21:20:26 | INFO     | vo-backend | pipeline_orchestrator | reset_output_tables=true — dropping and recreating output tables.
2026-05-12T21:20:26 | INFO     | vo-backend | estimate_matching.db_writer | Dropped EM output tables: ['backup_api_em_est_summary', 'backup_api_em_est_subtot_dtl', 'backup_api_em_est_line_dtl', 'backup_api_est_overall_results']
2026-05-12T21:20:27 | INFO     | vo-backend | pipeline_orchestrator | === Step 1: API ingestion ===
2026-05-12T21:20:27 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | === API ingest pipeline start ===
2026-05-12T21:20:27 | DEBUG    | vo-backend | api_ingest.db_staging | Staging tables ensured.
2026-05-12T21:20:27 | INFO     | vo-backend | api_ingest.api_auth | Requesting AppSec token...
2026-05-12T21:20:27 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | Token acquired.
2026-05-12T21:20:27 | INFO     | vo-backend | api_ingest.estimate_client | SearchEstimates page start_row=1 → 50 items (total so far: 50)
2026-05-12T21:20:27 | INFO     | vo-backend | api_ingest.estimate_client | SearchEstimates complete: 40 estimates
2026-05-12T21:20:27 | INFO     | vo-backend | api_ingest.estimate_loader | Inserted 40 new rows into container.backup_api_est_imgs (0 already existed)
2026-05-12T21:20:27 | INFO     | vo-backend | api_ingest.api_ingestion_pipeline | 40 new estimate(s) to process.
2026-05-12T21:20:27 | INFO     | vo-backend | api_ingest.estimate_loader | Loading 40 estimates from API (max_workers=5, save_sql=True)
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_client | CDR rates vendor=201 group=C1: bdy=0 mech=None frm=None dom_disc=None
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385153: 1 lines, 4 subtotals, CDR bdy_rate=None
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_client | CDR rates vendor=5034733 group=09: bdy=203 mech=150.0 frm=None dom_disc=None
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_loader | est_id 3000385150: 2 lines, 12 subtotals, CDR bdy_rate=203.0
2026-05-12T21:20:28 | DEBUG    | vo-backend | api_ingest.estimate_client | CDR rates vendor=5006892 group=58: bdy=56 mech=55.55 frm=55.55 dom_disc=2.0
